payment_id,order_ref,amount,fee,settled_at
pay_9e8444b,ORD-2429,4072.14,96.10,2026-06-16
pay_2b3aac08,ORD-2430,17605.95,415.50,2026-08-22
pay_39c16da5,ORD-2431,790.12,18.65,2026-08-23
pay_2ab065c9,ORD-2432,4740.26,111.87,2026-06-07
pay_1c9ce29e,ORD-2433,12654.59,298.65,2026-07-25
pay_2d726ecb,ORD-2434,7972.63,188.15,2026-08-20
pay_17ddba8a,ORD-2435,16013.77,377.92,2026-06-08
pay_394c99c9,ORD-2436,20943.96,494.28,2026-07-04
pay_1bfa88ac,ORD-2437,51933.41,1225.63,2026-08-10
pay_7d5fc9c,ORD-2438,617.28,14.57,2026-08-16
pay_c5e7adb,ORD-2439,20336.84,479.95,2026-06-30
pay_2ace04b7,ORD-2440,20824.74,491.46,2026-06-08
pay_2bd209f6,ORD-2441,3166.34,74.73,2026-08-30
pay_3b8251e0,ORD-2442,212721.30,5020.22,2026-08-12
pay_13f6d83b,ORD-2443,6805.15,160.60,2026-07-02
pay_33d82f61,ORD-2444,3263.61,77.02,2026-06-18
pay_27a4b1b1,ORD-2445,3139.74,74.10,2026-06-19
pay_1b801873,ORD-2446,74660.47,1761.99,2026-08-15
pay_2f820c67,ORD-2447,57765.13,1363.26,2026-08-22
pay_308df324,ORD-2448,23576.90,556.41,2026-07-16
pay_349b0b99,ORD-2449,3598.24,84.92,2026-06-17
pay_119d1b3f,ORD-2450,24885.66,587.30,2026-08-12
pay_1b27be0e,ORD-2451,3044.98,71.86,2026-08-03
pay_30d78fbf,ORD-2452,4483.94,105.82,2026-06-14
pay_a4ca0eb,ORD-2453,10304.25,243.18,2026-07-04
pay_20d17a31,ORD-2454,28611.06,675.22,2026-07-29
pay_2f9f5d3f,ORD-2455,12506.95,295.16,2026-08-03
pay_16ac31fb,ORD-2456,27505.96,649.14,2026-06-04
pay_beb4e58,ORD-2457,37067.84,874.80,2026-06-12
pay_10853163,ORD-2458,77837.85,1836.97,2026-07-28
pay_296c74fc,ORD-2459,4884.79,115.28,2026-07-25
pay_29238d2e,ORD-2460,931.62,21.99,2026-07-23
pay_2c5fcf66,ORD-2461,894.33,21.11,2026-08-26
pay_d5a608e,ORD-2462,3371.86,79.58,2026-06-12
pay_28c8d6f9,ORD-2463,18220.80,430.01,2026-06-14
pay_23b96376,ORD-2464,13915.51,328.41,2026-07-05
pay_c264134,ORD-2465,8022.61,189.33,2026-08-31
pay_9dd095e,ORD-2466,20129.14,475.05,2026-07-02
pay_150aa343,ORD-2467,237413.59,5602.96,2026-08-02
pay_27096a42,ORD-2468,78572.93,1854.32,2026-08-06
pay_10a8b4ef,ORD-2469,4771.65,112.61,2026-07-28
pay_12e21fd4,ORD-2470,852.66,20.12,2026-08-28
pay_1ecc7ed7,ORD-2471,4598.62,108.53,2026-06-09
pay_2dd60f5a,ORD-2472,63976.61,1509.85,2026-06-04
pay_2b4075d1,ORD-2473,1173.39,27.69,2026-08-14
pay_16dd7e53,ORD-2474,90060.65,2125.43,2026-07-16
pay_f2ac2d4,ORD-2475,5749.31,135.68,2026-07-07
pay_152a60cf,ORD-2476,4503.08,106.27,2026-07-15
pay_17e71414,ORD-2477,26517.47,625.81,2026-07-10
pay_17340e4f,ORD-2478,4883.99,115.26,2026-07-28
pay_24f746e6,ORD-2479,1451.26,34.25,2026-07-25
pay_ea45d93,ORD-2480,29921.27,706.14,2026-08-05
pay_813b701,ORD-2481,40054.51,945.29,2026-06-08
pay_1f5d6196,ORD-2482,45548.31,1074.94,2026-08-01
pay_24556f61,ORD-2483,2699.54,63.71,2026-07-28
pay_183474a6,ORD-2484,4525.21,106.79,2026-08-28
pay_2f648d14,ORD-2485,83487.26,1970.30,2026-06-28
pay_244d7cca,ORD-2486,15265.62,360.27,2026-08-27
pay_33936b47,ORD-2487,41782.75,986.07,2026-08-18
pay_194c395a,ORD-2488,59424.85,1402.43,2026-06-29
pay_1de94267,ORD-2489,7046.24,166.29,2026-08-07
pay_1b7b8cdf,ORD-2490,3579.86,84.48,2026-08-01
pay_1203f875,ORD-2491,3699.92,87.32,2026-08-24
pay_303c01ff,ORD-2492,85407.24,2015.61,2026-08-17
pay_1fdad3c2,ORD-2493,24949.38,588.81,2026-07-05
pay_3475ac0a,ORD-2494,67903.18,1602.52,2026-06-26
pay_10d6f0bc,ORD-2495,75390.14,1779.21,2026-08-05
pay_31764948,ORD-2496,19818.38,467.71,2026-08-11
pay_3865f3df,ORD-2497,19884.20,469.27,2026-07-11
pay_2e8fd5cb,ORD-2498,4330.46,102.20,2026-07-31
pay_31866e5a,ORD-2499,4502.42,106.26,2026-08-04
