invoice_id,order_ref,amount,customer,due_date,status
INV-2388,ORD-2388,2121.96,Indus Apparel,2026-06-11,paid
INV-2389,ORD-2389,19519.77,Meera Motors,2026-06-30,paid
INV-2390,ORD-2390,850.72,Aarav Textiles,2026-08-15,paid
INV-2391,ORD-2391,21342.18,Aarav Textiles,2026-07-25,paid
INV-2392,ORD-2392,4126.81,Meera Motors,2026-06-14,paid
INV-2393,ORD-2393,18542.74,Everest Hardware,2026-06-09,paid
INV-2394,ORD-2394,19448.64,Falcon Electricals,2026-08-20,paid
INV-2395,ORD-2395,31501.60,Omkar Furnishings,2026-06-13,paid
INV-2396,ORD-2396,13587.77,Meera Motors,2026-06-18,paid
INV-2397,ORD-2397,19423.59,Ravi Traders,2026-07-07,paid
INV-2398,ORD-2398,19956.87,Tarun Auto Parts,2026-07-08,paid
INV-2399,ORD-2399,3371.37,Devika Foods,2026-06-10,paid
INV-2400,ORD-2400,67628.53,Meera Motors,2026-07-17,paid
INV-2401,ORD-2401,803.90,Chetak Logistics,2026-07-04,paid
INV-2402,ORD-2402,17571.41,Meera Motors,2026-08-04,paid
INV-2403,ORD-2403,8053.61,Ravi Traders,2026-06-11,paid
INV-2404,ORD-2404,3138.97,Ravi Traders,2026-08-23,paid
INV-2405,ORD-2405,88485.11,Nakshatra Gems,2026-06-08,paid
INV-2406,ORD-2406,11185.80,Tarun Auto Parts,2026-08-24,paid
INV-2407,ORD-2407,37287.45,Everest Hardware,2026-07-15,paid
INV-2408,ORD-2408,90509.50,Everest Hardware,2026-06-16,paid
INV-2409,ORD-2409,4887.73,Chetak Logistics,2026-08-20,paid
INV-2410,ORD-2410,16337.72,Bansal Traders,2026-07-18,paid
INV-2411,ORD-2411,25192.64,Harit Agro,2026-06-02,paid
INV-2412,ORD-2412,4821.54,Everest Hardware,2026-06-05,paid
INV-2413,ORD-2413,4621.35,Kavya Interiors,2026-07-11,paid
INV-2414,ORD-2414,23038.82,Devika Foods,2026-06-23,paid
INV-2415,ORD-2415,89952.42,Chetak Logistics,2026-07-10,paid
INV-2416,ORD-2416,3037.13,Lotus Bakery,2026-07-09,paid
INV-2417,ORD-2417,299557.42,Shanti Sweets,2026-06-26,paid
INV-2418,ORD-2418,2936.95,Nakshatra Gems,2026-08-21,paid
INV-2419,ORD-2419,79541.13,Meera Motors,2026-06-14,paid
INV-2420,ORD-2420,128474.70,Bansal Traders,2026-07-06,paid
INV-2421,ORD-2421,52936.90,Nakshatra Gems,2026-06-11,paid
INV-2422,ORD-2422,3055.19,Meera Motors,2026-07-26,paid
INV-2423,ORD-2423,178590.53,Kavya Interiors,2026-07-12,paid
INV-2424,ORD-2424,3965.66,Ganga Stationers,2026-06-14,paid
INV-2425,ORD-2425,15718.49,Kavya Interiors,2026-06-27,paid
INV-2426,ORD-2426,4134.19,Devika Foods,2026-07-09,paid
INV-2427,ORD-2427,3700.21,Kavya Interiors,2026-07-16,paid
INV-2428,ORD-2428,38040.08,Indus Apparel,2026-07-22,paid
INV-2429,ORD-2429,4072.14,Omkar Furnishings,2026-06-16,paid
INV-2430,ORD-2430,17605.95,Meera Motors,2026-08-22,paid
INV-2431,ORD-2431,790.12,Chetak Logistics,2026-08-22,paid
INV-2432,ORD-2432,4740.26,Kavya Interiors,2026-06-07,paid
INV-2433,ORD-2433,12654.59,Meera Motors,2026-07-25,paid
INV-2434,ORD-2434,7972.63,Indus Apparel,2026-08-18,paid
INV-2435,ORD-2435,16013.77,Prakash Paints,2026-06-08,paid
INV-2436,ORD-2436,20943.96,Ganga Stationers,2026-07-02,paid
INV-2437,ORD-2437,51933.41,Meera Motors,2026-08-09,paid
INV-2438,ORD-2438,617.28,Meera Motors,2026-08-16,paid
INV-2439,ORD-2439,20336.84,Prakash Paints,2026-06-30,paid
INV-2440,ORD-2440,20824.74,Indus Apparel,2026-06-08,paid
INV-2441,ORD-2441,3166.34,Falcon Electricals,2026-08-29,paid
INV-2442,ORD-2442,212721.30,Lotus Bakery,2026-08-12,paid
INV-2443,ORD-2443,6805.15,Falcon Electricals,2026-06-30,paid
INV-2444,ORD-2444,3263.61,Aarav Textiles,2026-06-17,paid
INV-2446,ORD-2446,74660.47,Lotus Bakery,2026-08-15,paid
INV-2447,ORD-2447,57765.13,Falcon Electricals,2026-08-21,paid
INV-2448,ORD-2448,23576.90,Ravi Traders,2026-07-16,paid
INV-2449,ORD-2449,3598.24,Meera Motors,2026-06-17,paid
INV-2450,ORD-2450,24885.66,Shanti Sweets,2026-08-12,paid
INV-2451,ORD-2451,3044.98,Tarun Auto Parts,2026-08-03,paid
INV-2452,ORD-2452,4483.94,Kavya Interiors,2026-06-12,paid
INV-2453,ORD-2453,10304.25,Kavya Interiors,2026-07-02,paid
INV-2454,ORD-2454,28611.06,Devika Foods,2026-07-27,paid
INV-2455,ORD-2455,12506.95,Meera Motors,2026-08-01,paid
INV-2456,ORD-2456,27505.96,Chetak Logistics,2026-06-03,paid
INV-2457,ORD-2457,37067.84,Falcon Electricals,2026-06-10,paid
INV-2458,ORD-2458,77837.85,Tarun Auto Parts,2026-07-26,paid
INV-2459,ORD-2459,4884.79,Devika Foods,2026-07-23,paid
INV-2460,ORD-2460,931.62,Jyoti Enterprises,2026-07-21,paid
INV-2461,ORD-2461,894.33,Lotus Bakery,2026-08-24,paid
INV-2462,ORD-2462,3371.86,Aarav Textiles,2026-06-11,paid
INV-2463,ORD-2463,18220.80,Prakash Paints,2026-06-12,paid
INV-2464,ORD-2464,13915.51,Meera Motors,2026-07-04,paid
INV-2465,ORD-2465,8022.61,Indus Apparel,2026-08-29,paid
INV-2466,ORD-2466,20129.14,Ravi Traders,2026-06-30,paid
INV-2467,ORD-2467,237413.59,Nakshatra Gems,2026-07-31,paid
INV-2468,ORD-2468,78572.93,Meera Motors,2026-08-04,paid
INV-2469,ORD-2469,4771.65,Tarun Auto Parts,2026-07-28,paid
INV-2470,ORD-2470,852.66,Everest Hardware,2026-08-27,paid
INV-2471,ORD-2471,4598.62,Tarun Auto Parts,2026-06-09,paid
INV-2472,ORD-2472,63976.61,Kavya Interiors,2026-06-02,paid
INV-2473,ORD-2473,1173.39,Nakshatra Gems,2026-08-12,paid
INV-2474,ORD-2474,90060.65,Devika Foods,2026-07-15,paid
INV-2475,ORD-2475,5749.31,Shanti Sweets,2026-07-06,paid
INV-2476,ORD-2476,4503.08,Meera Motors,2026-07-13,paid
INV-2477,ORD-2477,26517.47,Indus Apparel,2026-07-09,paid
INV-2478,ORD-2478,4883.99,Harit Agro,2026-07-27,paid
INV-2479,ORD-2479,1451.26,Chetak Logistics,2026-07-23,paid
INV-2480,ORD-2480,29921.27,Quantum Solutions,2026-08-04,paid
INV-2481,ORD-2481,40054.51,Ganga Stationers,2026-06-08,paid
INV-2482,ORD-2482,45548.31,Lotus Bakery,2026-07-30,paid
INV-2483,ORD-2483,2699.54,Aarav Textiles,2026-07-28,paid
INV-2484,ORD-2484,4525.21,Lotus Bakery,2026-08-28,paid
INV-2485,ORD-2485,83487.26,Falcon Electricals,2026-06-28,paid
INV-2486,ORD-2486,15265.62,Indus Apparel,2026-08-27,paid
INV-2487,ORD-2487,41782.75,Tarun Auto Parts,2026-08-17,paid
INV-2488,ORD-2488,59424.85,Meera Motors,2026-06-28,paid
INV-2489,ORD-2489,7046.24,Tarun Auto Parts,2026-08-05,paid
INV-2490,ORD-2490,3579.86,Tarun Auto Parts,2026-08-01,paid
INV-2491,ORD-2491,3699.92,Indus Apparel,2026-08-23,paid
INV-2492,ORD-2492,85407.24,Harit Agro,2026-08-16,paid
INV-2493,ORD-2493,24949.38,Aarav Textiles,2026-07-04,paid
INV-2494,ORD-2494,67903.18,Shanti Sweets,2026-06-25,paid
INV-2495,ORD-2495,75390.14,Prakash Paints,2026-08-04,paid
INV-2496,ORD-2496,19818.38,Devika Foods,2026-08-11,paid
INV-2497,ORD-2497,19884.20,Harit Agro,2026-07-10,paid
INV-2498,ORD-2498,4330.46,Shanti Sweets,2026-07-31,paid
INV-2499,ORD-2499,4502.42,Tarun Auto Parts,2026-08-04,paid
