txn_id,batch_ref,credit,value_date,narration
BNK-42447,ORD-2380,34126.95,2026-06-22,RAZORPAY SETL
BNK-59174,ORD-2381,16157.97,2026-07-08,RAZORPAY SETL
BNK-73968,ORD-2382,19524.14,2026-08-30,RAZORPAY SETL
BNK-93209,ORD-2383,86448.06,2026-06-15,RAZORPAY SETL
BNK-37767,ORD-2384,82677.49,2026-07-22,RAZORPAY SETL
BNK-73614,ORD-2385,49143.81,2026-08-14,RAZORPAY SETL
BNK-30707,ORD-2386,3239.51,2026-07-30,RAZORPAY SETL
BNK-49566,ORD-2387,181180.65,2026-08-29,RAZORPAY SETL
BNK-95054,ORD-2388,2071.88,2026-06-13,RAZORPAY SETL
BNK-21953,ORD-2389,19059.10,2026-07-02,RAZORPAY SETL
BNK-99126,ORD-2390,830.64,2026-08-16,RAZORPAY SETL
BNK-72613,ORD-2391,20838.50,2026-07-28,RAZORPAY SETL
BNK-49223,ORD-2392,4029.42,2026-06-16,RAZORPAY SETL
BNK-11110,ORD-2393,18105.13,2026-06-12,RAZORPAY SETL
BNK-63963,ORD-2394,18989.65,2026-08-23,RAZORPAY SETL
BNK-26142,ORD-2395,30758.16,2026-06-14,RAZORPAY SETL
BNK-94491,ORD-2396,13267.10,2026-06-19,RAZORPAY SETL
BNK-96298,ORD-2397,18411.85,2026-07-10,RAZORPAY SETL
BNK-41370,ORD-2398,19485.89,2026-07-11,RAZORPAY SETL
BNK-57329,ORD-2399,3291.81,2026-06-13,RAZORPAY SETL
BNK-27299,ORD-2399,3291.81,2026-06-14,RAZORPAY SETL
BNK-32645,ORD-2400,66032.50,2026-07-20,RAZORPAY SETL
BNK-62727,ORD-2402,17156.72,2026-08-06,RAZORPAY SETL
BNK-77017,ORD-2403,7863.54,2026-06-13,RAZORPAY SETL
BNK-30365,ORD-2403,7863.54,2026-06-14,RAZORPAY SETL
BNK-18665,ORD-2404,3064.89,2026-08-26,RAZORPAY SETL
BNK-66948,ORD-2405,86396.86,2026-06-09,RAZORPAY SETL
BNK-25655,ORD-2406,10921.82,2026-08-27,RAZORPAY SETL
BNK-43980,ORD-2407,36407.47,2026-07-18,RAZORPAY SETL
BNK-66272,ORD-2408,88373.48,2026-06-17,RAZORPAY SETL
BNK-69663,ORD-2409,4772.38,2026-08-21,RAZORPAY SETL
BNK-23487,ORD-2410,15952.15,2026-07-20,RAZORPAY SETL
BNK-71835,ORD-2411,24598.09,2026-06-03,RAZORPAY SETL
BNK-95944,ORD-2412,4707.75,2026-06-08,RAZORPAY SETL
BNK-20208,ORD-2413,4512.29,2026-07-13,RAZORPAY SETL
BNK-77603,ORD-2414,22496.91,2026-06-24,RAZORPAY SETL
BNK-82494,ORD-2415,87829.54,2026-07-12,RAZORPAY SETL
BNK-41795,ORD-2416,2965.45,2026-07-12,RAZORPAY SETL
BNK-42129,ORD-2417,292487.86,2026-06-29,RAZORPAY SETL
BNK-53911,ORD-2418,2867.64,2026-08-24,RAZORPAY SETL
BNK-41217,ORD-2419,77663.96,2026-06-15,RAZORPAY SETL
BNK-40339,ORD-2420,125442.70,2026-07-12,RAZORPAY SETL
BNK-76247,ORD-2421,51687.59,2026-06-14,RAZORPAY SETL
BNK-41034,ORD-2422,2983.09,2026-07-29,RAZORPAY SETL
BNK-45645,ORD-2423,174375.79,2026-07-14,RAZORPAY SETL
BNK-31544,ORD-2424,3872.07,2026-06-15,RAZORPAY SETL
BNK-70731,ORD-2425,15347.53,2026-06-29,RAZORPAY SETL
BNK-89076,ORD-2426,4036.62,2026-07-12,RAZORPAY SETL
BNK-16416,ORD-2427,3612.89,2026-07-18,RAZORPAY SETL
BNK-82105,ORD-2428,37142.33,2026-07-24,RAZORPAY SETL
BNK-39135,ORD-2429,3976.04,2026-06-17,RAZORPAY SETL
BNK-86823,ORD-2430,17190.45,2026-08-23,RAZORPAY SETL
BNK-26880,ORD-2431,771.47,2026-08-24,RAZORPAY SETL
BNK-66774,ORD-2432,4628.39,2026-06-08,RAZORPAY SETL
BNK-38143,ORD-2433,12355.94,2026-07-29,RAZORPAY SETL
BNK-42215,ORD-2434,7784.48,2026-08-21,RAZORPAY SETL
BNK-60202,ORD-2435,15635.85,2026-06-09,RAZORPAY SETL
BNK-81258,ORD-2436,20449.68,2026-07-05,RAZORPAY SETL
BNK-84141,ORD-2437,50707.78,2026-08-11,RAZORPAY SETL
BNK-46822,ORD-2438,602.71,2026-08-17,RAZORPAY SETL
BNK-42487,ORD-2439,19856.89,2026-07-01,RAZORPAY SETL
BNK-60911,ORD-2440,20333.28,2026-06-09,RAZORPAY SETL
BNK-13697,ORD-2441,3091.61,2026-08-31,RAZORPAY SETL
BNK-74517,ORD-2442,207701.08,2026-08-13,RAZORPAY SETL
BNK-12612,ORD-2443,6644.55,2026-07-03,RAZORPAY SETL
BNK-33260,ORD-2444,3186.59,2026-06-22,RAZORPAY SETL
BNK-57826,ORD-2445,3065.64,2026-06-20,RAZORPAY SETL
BNK-49552,ORD-2446,72898.48,2026-08-16,RAZORPAY SETL
BNK-51586,ORD-2447,56401.87,2026-08-23,RAZORPAY SETL
BNK-87194,ORD-2448,23020.49,2026-07-17,RAZORPAY SETL
BNK-88956,ORD-2450,24298.36,2026-08-13,RAZORPAY SETL
BNK-20198,ORD-2451,2973.12,2026-08-04,RAZORPAY SETL
BNK-93768,ORD-2452,4378.12,2026-06-15,RAZORPAY SETL
BNK-55938,ORD-2453,10061.07,2026-07-05,RAZORPAY SETL
BNK-31802,ORD-2454,26677.79,2026-07-30,RAZORPAY SETL
BNK-39567,ORD-2455,12211.79,2026-08-04,RAZORPAY SETL
BNK-23726,ORD-2456,26856.82,2026-06-05,RAZORPAY SETL
BNK-54295,ORD-2457,36193.04,2026-06-13,RAZORPAY SETL
BNK-89602,ORD-2458,75565.98,2026-07-29,RAZORPAY SETL
BNK-80795,ORD-2459,4769.51,2026-07-26,RAZORPAY SETL
BNK-74349,ORD-2460,909.63,2026-07-24,RAZORPAY SETL
BNK-72957,ORD-2461,873.22,2026-08-27,RAZORPAY SETL
BNK-50416,ORD-2462,3292.28,2026-06-13,RAZORPAY SETL
BNK-60793,ORD-2463,17790.79,2026-06-15,RAZORPAY SETL
BNK-44524,ORD-2464,13587.10,2026-07-06,RAZORPAY SETL
BNK-21233,ORD-2465,7833.28,2026-09-01,RAZORPAY SETL
BNK-60738,ORD-2466,19654.09,2026-07-03,RAZORPAY SETL
BNK-72424,ORD-2467,231810.63,2026-08-03,RAZORPAY SETL
BNK-84905,ORD-2468,76718.61,2026-08-07,RAZORPAY SETL
BNK-37772,ORD-2469,4659.04,2026-07-29,RAZORPAY SETL
BNK-92211,ORD-2470,832.54,2026-08-29,RAZORPAY SETL
BNK-82923,ORD-2471,4490.09,2026-06-10,RAZORPAY SETL
BNK-87014,ORD-2472,62466.76,2026-06-05,RAZORPAY SETL
BNK-23133,ORD-2473,1145.70,2026-08-15,RAZORPAY SETL
BNK-83752,ORD-2473,1145.70,2026-08-16,RAZORPAY SETL
BNK-60206,ORD-2474,87935.22,2026-07-17,RAZORPAY SETL
BNK-91034,ORD-2475,5613.63,2026-07-08,RAZORPAY SETL
BNK-16460,ORD-2476,4396.81,2026-07-16,RAZORPAY SETL
BNK-74437,ORD-2477,24163.77,2026-07-11,RAZORPAY SETL
BNK-64627,ORD-2478,4768.73,2026-07-29,RAZORPAY SETL
BNK-77698,ORD-2479,-644.48,2026-07-26,RAZORPAY SETL
BNK-78719,ORD-2480,29094.21,2026-08-06,RAZORPAY SETL
BNK-69827,ORD-2481,39109.22,2026-06-09,RAZORPAY SETL
BNK-93284,ORD-2482,44473.37,2026-08-02,RAZORPAY SETL
BNK-99282,ORD-2482,44473.37,2026-08-03,RAZORPAY SETL
BNK-86923,ORD-2483,2635.83,2026-07-29,RAZORPAY SETL
BNK-13597,ORD-2484,4418.42,2026-08-29,RAZORPAY SETL
BNK-39505,ORD-2485,81516.96,2026-06-29,RAZORPAY SETL
BNK-27342,ORD-2486,14905.35,2026-08-28,RAZORPAY SETL
BNK-94245,ORD-2487,40796.68,2026-08-19,RAZORPAY SETL
BNK-98761,ORD-2488,58022.42,2026-06-30,RAZORPAY SETL
BNK-83591,ORD-2489,6879.95,2026-08-08,RAZORPAY SETL
BNK-46239,ORD-2490,3495.38,2026-08-02,RAZORPAY SETL
BNK-29651,ORD-2491,3612.60,2026-08-25,RAZORPAY SETL
BNK-51888,ORD-2492,83391.63,2026-08-18,RAZORPAY SETL
BNK-60891,ORD-2493,24360.57,2026-07-06,RAZORPAY SETL
BNK-39145,ORD-2494,66300.66,2026-06-27,RAZORPAY SETL
BNK-96194,ORD-2495,73117.15,2026-08-06,RAZORPAY SETL
BNK-53992,ORD-2496,19350.67,2026-08-12,RAZORPAY SETL
BNK-53426,ORD-2497,19414.93,2026-07-12,RAZORPAY SETL
BNK-86490,ORD-2498,4228.26,2026-08-01,RAZORPAY SETL
BNK-60026,ORD-2499,4396.16,2026-08-05,RAZORPAY SETL
